epoch,train_loss,train_f1,val_loss,val_f1,lr
1,1.0483,0.3132,1.1286,0.2308,1.08e-07
2,1.0396,0.3146,1.1331,0.1320,2.15e-07
3,1.0248,0.3086,1.1468,0.1253,3.23e-07
4,0.9987,0.2699,1.1692,0.1391,4.30e-07
5,0.9682,0.2599,1.2032,0.1573,5.38e-07
6,0.9383,0.2696,1.2293,0.2442,6.45e-07
7,0.8974,0.3305,1.2555,0.3469,7.53e-07
8,0.8612,0.3739,1.2499,0.4066,8.60e-07
9,0.8267,0.4257,1.2124,0.4207,9.68e-07
10,0.7781,0.4608,1.1717,0.4293,1.08e-06
11,0.7395,0.4672,1.1116,0.4403,1.18e-06
12,0.6952,0.5123,1.0570,0.4703,1.29e-06
13,0.6532,0.5571,0.9807,0.5636,1.40e-06
14,0.6463,0.6105,0.8909,0.6517,1.51e-06
15,0.6295,0.6329,0.8443,0.6877,1.61e-06
16,0.5718,0.7108,0.8027,0.7293,1.72e-06
17,0.5792,0.6897,0.7102,0.7992,1.83e-06
18,0.5611,0.7209,0.6424,0.8389,1.94e-06
19,0.5384,0.7582,0.5676,0.8876,2.04e-06
20,0.5396,0.7237,0.5308,0.9155,2.15e-06
21,0.4949,0.7806,0.5395,0.9196,2.26e-06
22,0.4927,0.7966,0.5182,0.9376,2.37e-06
23,0.4780,0.8092,0.5138,0.9413,2.47e-06
24,0.4878,0.8245,0.5193,0.9395,2.58e-06
25,0.4855,0.7908,0.4986,0.9522,2.69e-06
26,0.4754,0.8128,0.4839,0.9621,2.80e-06
27,0.4818,0.8136,0.4826,0.9638,2.90e-06
28,0.4796,0.7859,0.4854,0.9599,3.01e-06
29,0.4416,0.8259,0.4893,0.9598,3.12e-06
30,0.5095,0.7510,0.4974,0.9546,3.23e-06
31,0.4722,0.8071,0.4869,0.9582,3.33e-06
32,0.4724,0.7966,0.5030,0.9527,3.44e-06
33,0.4486,0.8237,0.5031,0.9512,3.55e-06
34,0.4646,0.8242,0.5193,0.9479,3.66e-06
35,0.4666,0.8101,0.5135,0.9455,3.76e-06
36,0.4760,0.8333,0.5101,0.9464,3.87e-06
37,0.4667,0.8078,0.5189,0.9398,3.98e-06
38,0.4332,0.8475,0.5263,0.9379,4.09e-06
39,0.4362,0.7996,0.5476,0.9250,4.19e-06
40,0.4427,0.7895,0.5432,0.9266,4.30e-06
41,0.4252,0.8506,0.5261,0.9409,4.41e-06
42,0.4489,0.8339,0.5272,0.9370,4.52e-06
43,0.4254,0.8308,0.5983,0.9009,4.62e-06
44,0.4365,0.7881,0.5083,0.9434,4.73e-06
45,0.4290,0.7994,0.5462,0.9343,4.84e-06
46,0.4929,0.8025,0.5664,0.9055,4.95e-06
47,0.4246,0.8622,0.6177,0.8882,5.05e-06
48,0.4558,0.8103,0.5482,0.9185,5.16e-06
49,0.4131,0.8512,0.5508,0.9144,5.27e-06
50,0.4467,0.8111,0.5799,0.9032,5.38e-06
51,0.4092,0.7997,0.6253,0.8821,5.48e-06
52,0.4231,0.8334,0.5634,0.9083,5.59e-06
